date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:49	35560/35560	---MCZ	200	added ('OK')	text/html	etag:W/%222e2ca84a2e02c0e992281c08b13f3532%22	https://hedvige-xddzgxsai9.figweb.site/Registro/	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/Registro/index.html	(from )
09:13:49	66779/66779	---MCZ	200	added ('OK')	text/html	etag:W/%22cce5a4b8ed2cf8a90a01bf8a91f842f1%22	https://hedvige-xddzgxsai9.figweb.site/Catalogo/	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/Catalogo/index.html	(from )
09:13:49	33170/33170	---MCZ	200	added ('OK')	text/html	etag:W/%22c29160f261261079de9ece01ff39e6b9%22	https://hedvige-xddzgxsai9.figweb.site/Iniciar-Sesion/	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/Iniciar-Sesion/index.html	(from )
09:13:49	10971/10971	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Nov%202025%2015:12:39%20GMT	https://hedvige-xddzgxsai9.figweb.site/Ven	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/Ven.0.delayed	(from )
09:13:51	121/121	---MCZ	200	added ('OK')	text/plain	etag:W/%22b4ca86ffff4583a184269d0df5498de3%22	https://hedvige-xddzgxsai9.figweb.site/robots.txt		(from )
09:13:51	70729/70729	---MCZ	200	added ('OK')	text/html	etag:W/%2259d333c0c70027465d187a1f5c227182%22	https://hedvige-xddzgxsai9.figweb.site/ClientesAdmin/	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/ClientesAdmin/index.html	(from )
09:13:52	64938/64938	---M--	200	added ('OK')	image/jpeg	etag:%22cfLjeRIhxVkF9xcMDoviDfISzBsFR62ugz1sQcyMgKDQ%22	https://hedvige-xddzgxsai9.figweb.site/cdn-cgi/imagedelivery/s-dfVpmPR-aKHmwFNwAgnQ/hedvige-xddzgxsai9.figweb.site-a48bd913611cf24f9ac599478b323551e81a8dd8/public	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/cdn-cgi/imagedelivery/s-dfVpmPR-aKHmwFNwAgnQ/hedvige-xddzgxsai9.figweb.site-a48bd913611cf24f9ac599478b323551e81a8dd8/public.jpg	(from https://hedvige-xddzgxsai9.figweb.site/Catalogo/)
09:13:52	10971/10971	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Nov%202025%2015:12:41%20GMT	https://hedvige-xddzgxsai9.figweb.site/feed/en.xml	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/feed/en.xml	(from https://hedvige-xddzgxsai9.figweb.site/Catalogo/)
09:13:54	33164/33164	---MCZ	200	added ('OK')	application/javascript	etag:W/%2278e09e8562816c20b9545ef1817ec8f7%22	https://hedvige-xddzgxsai9.figweb.site/__assets/runtime-9cb008d88f0d2498de069d7e0f61e223f992206b.js	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/__assets/runtime-9cb008d88f0d2498de069d7e0f61e223f992206b.js	(from https://hedvige-xddzgxsai9.figweb.site/Catalogo/)
09:13:54	4202/4202	---M--	200	added ('OK')	image/png	etag:%22cfbYTwWIjVVGHCPcghfOmRa3COJ_ajbPqRmbn87FcTDQ%22	https://hedvige-xddzgxsai9.figweb.site/cdn-cgi/imagedelivery/s-dfVpmPR-aKHmwFNwAgnQ/hedvige-xddzgxsai9.figweb.site-cc9e226daf55ab346512e8fffcf967ea0019d478/h=64	/home/Diets/websites/pagina-figma/hedvige-xddzgxsai9.figweb.site/cdn-cgi/imagedelivery/s-dfVpmPR-aKHmwFNwAgnQ/hedvige-xddzgxsai9.figweb.site-cc9e226daf55ab346512e8fffcf967ea0019d478/h=64.png	(from https://hedvige-xddzgxsai9.figweb.site/Catalogo/)
